index,category,image_url,product_url,title,writer,genre,is_exclusive,discount,sale_price,original_price,copies_sold,rating,review_count
61,default,https://doujin-assets.dmm.co.jp/digital/cg/d_253333/d_253333pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_253333/,たからさがしのなつやすみ【中編】,さんどいっちわーくす,動画,False,50%OFF,1045,2090,33051,,78
62,default,https://doujin-assets.dmm.co.jp/digital/cg/d_699458/d_699458pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_699458/,淫獣目録IF 敗北巫女はただ求めるだけの淫ら天女.,ガザビー,CG,True,,,990,857,,2
63,default,https://doujin-assets.dmm.co.jp/digital/cg/d_487912/d_487912pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_487912/,ギャル×シコ！！〜ツンケンギャルのあの子は、エッチに興味津々な処女ビッチだったようです〜,Blossom,CG,True,50%OFF,550,1100,977,,1
64,default,https://doujin-assets.dmm.co.jp/digital/cg/d_697540/d_697540pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_697540/,メタモマジシャニー 無様に変貌！？私たちの身体！？〜変身ヒロイン敗北集〜,堕落さんぽ,CG,False,,,880,169,,
65,default,https://doujin-assets.dmm.co.jp/digital/cg/d_672343/d_672343pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_672343/,仕事が全くできないおっとり天然な若妻新入社員が マチアプでセフレ探しをするスケベちゃんだった 〜アプリで偶然遭遇して会社に内緒で「そういう関係」になったお話〜,なのはなジャム,CG,True,,,770,1442,,2
66,default,https://doujin-assets.dmm.co.jp/digital/cg/d_605076/d_605076pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_605076/,学校で人気の巨乳保健医は俺の承認欲求と性欲を満たしてくれる超エロい彼女,クレドソフィア,CG,False,50%OFF,550,1100,1536,,4
67,default,https://doujin-assets.dmm.co.jp/digital/cg/d_265405/d_265405pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_265405/,元アイドルのお姉さんとセフレの関係になったので、生ハメSEXしまくりました。,Umour,CG,True,95%OFF,50,990,32444,,17
68,default,https://doujin-assets.dmm.co.jp/digital/cg/d_697946/d_697946pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_697946/,ネットでイキってたパパ活女をオナホにした件 The Motion Anime,survive more,動画,True,,,2750,34,,1
69,default,https://doujin-assets.dmm.co.jp/digital/cg/d_329901/d_329901pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_329901/,男女比1:39の平行世界は思いのほか異常（Fantiaまとめ2023年3月〜12月分）,きっさー,CG,False,,,2750,12060,,12
70,default,https://doujin-assets.dmm.co.jp/digital/cg/d_647412/d_647412pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_647412/,【NTR】あなたを守りたくて 第一章 弱みを握られ犯●れ続けた8時間,dance carnival,動画,False,,,1980,2252,,1
